semana	FRU0002	FRU0003	FRU0008	FRU0016	FRU0017	FRU0022	FRU0024	FRU0025	FRU0028	FRU0030	FRU0031	FRU0032	FRU0033	FRU0034	FRU0037	FRU0040	FRU0042	FRU0045	FRU0046	FRU0048	GRA0001	GRA0006	TUB0001	TUB0005	TUB0006	TUB0008	TUB0009	TUB0010	TUB0012	VER0003	VER0005	VER0006	VER0007	VER0009	VER0010	VER0012	VER0013	VER0014	VER0016	VER0017	VER0020	VER0024	VER0028	VER0033	VER0035	VER0037	VER0038	VER0043	VER0049	VER0050	VER0051	VER0052	Total
2017-07-09	1	2	4	2	0	0	3	0	2	2	1	0	2	2	0	1	5	0	9	1	0	0	2	3	1	1	2	1	4	1	3	3	0	3	3	0	5	0	6	1	1	0	5	0	3	0	4	2	1	6	1	1	100
2017-07-16	1	2	3	2	0	2	5	0	2	2	0	0	3	1	1	1	2	1	10	2	0	1	4	3	1	0	1	2	5	0	2	2	0	3	3	1	5	1	6	2	1	1	5	0	7	0	2	3	0	5	0	4	110
2017-07-23	2	2	4	1	0	1	1	2	3	1	1	1	2	2	1	0	3	0	8	2	0	0	1	2	1	1	1	0	5	0	2	2	0	2	4	2	5	2	6	3	2	0	4	0	4	0	2	2	0	4	1	1	96
2017-07-30	1	2	4	3	0	1	5	1	5	1	1	2	6	2	1	2	3	0	12	1	0	0	3	2	2	0	0	2	3	4	5	4	0	3	4	1	5	2	7	4	0	1	8	0	5	1	5	2	0	3	0	4	133
2017-08-06	2	7	5	5	0	0	6	1	2	1	1	0	3	2	0	0	3	2	11	4	0	4	4	2	3	2	4	2	7	3	5	2	4	5	5	4	7	4	9	6	5	1	6	1	4	2	8	3	0	6	0	7	180
2017-08-13	1	5	5	2	0	1	7	0	6	1	1	2	6	1	0	2	3	2	14	3	0	3	5	3	1	2	3	1	7	3	4	3	3	4	4	5	7	3	7	5	3	0	8	0	5	1	7	4	0	3	0	6	172
2017-08-20	0	3	5	1	0	1	4	0	2	1	2	0	2	2	0	1	1	3	7	3	0	2	4	3	2	1	1	3	6	1	2	2	5	3	4	4	5	1	6	3	2	0	5	0	5	1	5	2	1	4	1	4	126
2017-08-27	1	5	2	2	0	0	5	2	1	0	1	1	2	2	0	1	2	3	10	5	1	5	3	3	3	0	1	2	9	2	4	2	4	3	6	5	5	1	8	5	3	0	6	0	6	2	5	2	2	3	1	6	153
2017-09-03	0	3	2	3	0	2	4	2	3	1	2	0	2	0	0	0	2	3	11	4	0	2	4	2	3	0	1	3	7	2	2	0	5	4	5	8	3	3	8	6	3	1	8	0	6	1	6	3	1	2	1	6	150
2017-09-10	1	5	6	4	0	0	4	0	2	0	0	1	3	2	0	0	3	3	8	3	0	3	4	4	2	1	1	1	6	2	4	3	4	3	4	3	5	2	6	3	3	1	5	1	4	3	7	4	0	2	0	5	141
2017-09-17	0	2	2	1	0	0	4	0	0	1	0	0	1	0	0	0	1	1	3	2	0	1	0	1	2	0	1	1	3	0	1	1	1	1	2	1	2	0	3	1	1	0	2	0	1	0	4	1	1	1	0	3	54
